"","date","State","dist","admin","pct"
"1",2021-01-04,"CT",149900,75946,50.66
"2",2021-01-04,"MA",287000,110279,38.42
"3",2021-01-04,"ME",66250,31663,47.79
"4",2021-01-04,"NH",53675,21181,39.46
"5",2021-01-04,"RI",55600,22544,40.55
"6",2021-01-04,"VT",33925,15955,47.03
"7",2021-01-05,"CT",149900,81970,54.68
"8",2021-01-05,"MA",328900,114465,34.8
"9",2021-01-05,"ME",70150,32150,45.83
"10",2021-01-05,"NH",53675,30035,55.96
"11",2021-01-05,"RI",55600,23151,41.64
"12",2021-01-05,"VT",33925,15955,47.03
"13",2021-01-06,"CT",149900,93056,62.08
"14",2021-01-06,"MA",329000,124450,37.83
"15",2021-01-06,"ME",70150,34201,48.75
"16",2021-01-06,"NH",54650,33177,60.71
"17",2021-01-06,"RI",55600,25688,46.2
"18",2021-01-06,"VT",37825,18740,49.54
"19",2021-01-07,"CT",219125,100889,46.04
"20",2021-01-07,"MA",449025,137858,30.7
"21",2021-01-07,"ME",96475,37128,38.48
"22",2021-01-07,"NH",77075,37369,48.48
"23",2021-01-07,"RI",72175,27696,38.37
"24",2021-01-07,"VT",48550,18740,38.6
"25",2021-01-08,"CT",219125,116277,53.06
"26",2021-01-08,"MA",449625,151430,33.68
"27",2021-01-08,"ME",96475,41429,42.94
"28",2021-01-08,"NH",89375,41868,46.85
"29",2021-01-08,"RI",72175,30264,41.93
"30",2021-01-08,"VT",48550,22331,46
"31",2021-01-09,"CT",NA,NA,NA
"32",2021-01-09,"MA",NA,NA,NA
"33",2021-01-09,"ME",NA,NA,NA
"34",2021-01-09,"NH",NA,NA,NA
"35",2021-01-09,"RI",NA,NA,NA
"36",2021-01-09,"VT",NA,NA,NA
"37",2021-01-10,"CT",NA,NA,NA
"38",2021-01-10,"MA",NA,NA,NA
"39",2021-01-10,"ME",NA,NA,NA
"40",2021-01-10,"NH",NA,NA,NA
"41",2021-01-10,"RI",NA,NA,NA
"42",2021-01-10,"VT",NA,NA,NA
"43",2021-01-11,"CT",246875,147174,59.61
"44",2021-01-11,"MA",458600,197823,43.14
"45",2021-01-11,"ME",108775,54945,50.51
"46",2021-01-11,"NH",98150,49452,50.38
"47",2021-01-11,"RI",80225,37707,47
"48",2021-01-11,"VT",54250,25757,47.48
"49",2021-01-12,"CT",250775,151395,60.37
"50",2021-01-12,"MA",476025,204082,42.87
"51",2021-01-12,"ME",132975,54945,41.32
"52",2021-01-12,"NH",122350,50613,41.37
"53",2021-01-12,"RI",80225,39568,49.32
"54",2021-01-12,"VT",64925,25757,39.67
"55",2021-01-13,"CT",315025,161875,51.38
"56",2021-01-13,"MA",656850,217443,33.1
"57",2021-01-13,"ME",136875,57248,41.83
"58",2021-01-13,"NH",124300,55218,44.42
"59",2021-01-13,"RI",82175,42028,51.14
"60",2021-01-13,"VT",69800,29571,42.37
"61",2021-01-14,"CT",328675,171897,52.3
"62",2021-01-14,"MA",669225,233476,34.89
"63",2021-01-14,"ME",136875,61129,44.66
"64",2021-01-14,"NH",127225,58711,46.15
"65",2021-01-14,"RI",84125,44871,53.34
"66",2021-01-14,"VT",69800,29571,42.37
"67",2021-01-15,"CT",328775,185866,56.53
"68",2021-01-15,"MA",669325,257175,38.42
"69",2021-01-15,"ME",136875,61129,44.66
"70",2021-01-15,"NH",127225,62517,49.14
"71",2021-01-15,"RI",108425,47548,43.85
"72",2021-01-15,"VT",74000,32470,43.88
"73",2021-01-16,"CT",NA,NA,NA
"74",2021-01-16,"MA",NA,NA,NA
"75",2021-01-16,"ME",NA,NA,NA
"76",2021-01-16,"NH",NA,NA,NA
"77",2021-01-16,"RI",NA,NA,NA
"78",2021-01-16,"VT",NA,NA,NA
"79",2021-01-17,"CT",NA,NA,NA
"80",2021-01-17,"MA",NA,NA,NA
"81",2021-01-17,"ME",NA,NA,NA
"82",2021-01-17,"NH",NA,NA,NA
"83",2021-01-17,"RI",NA,NA,NA
