"date","location","dist","admin","pct"
2021-01-12,"CT",250775,151395,60.4
2021-01-12,"ME",132975,54945,41.3
2021-01-12,"MA",476025,204082,42.9
2021-01-12,"NH",122350,50613,41.4
2021-01-12,"RI",80225,39568,49.3
2021-01-12,"VT",64925,25757,39.7
2021-01-13,"CT",315025,161875,51.4
2021-01-13,"ME",136875,57248,41.8
2021-01-13,"MA",656850,217443,33.1
2021-01-13,"NH",124300,55218,44.4
2021-01-13,"RI",82175,42028,51.1
2021-01-13,"VT",69800,29571,42.4
2021-01-14,"CT",328675,171897,52.3
2021-01-14,"ME",136875,61129,44.7
2021-01-14,"MA",669225,233476,34.9
2021-01-14,"NH",127225,58711,46.1
2021-01-14,"RI",84125,44871,53.3
2021-01-14,"VT",69800,29571,42.4
2021-01-15,"CT",328775,185866,56.5
2021-01-15,"ME",136875,61129,44.7
2021-01-15,"MA",669325,257175,38.4
2021-01-15,"NH",127225,62517,49.1
2021-01-15,"RI",108425,47548,43.9
2021-01-15,"VT",74000,32470,43.9
2021-01-16,"CT",NA,NA,NA
2021-01-16,"ME",NA,NA,NA
2021-01-16,"MA",NA,NA,NA
2021-01-16,"NH",NA,NA,NA
2021-01-16,"RI",NA,NA,NA
2021-01-16,"VT",NA,NA,NA
2021-01-17,"CT",NA,NA,NA
2021-01-17,"ME",NA,NA,NA
2021-01-17,"MA",NA,NA,NA
2021-01-17,"NH",NA,NA,NA
2021-01-17,"RI",NA,NA,NA
2021-01-17,"VT",NA,NA,NA
2021-01-18,"CT",NA,NA,NA
2021-01-18,"ME",NA,NA,NA
2021-01-18,"MA",NA,NA,NA
2021-01-18,"NH",NA,NA,NA
2021-01-18,"RI",NA,NA,NA
2021-01-18,"VT",NA,NA,NA
2021-01-19,"CT",328775,229524,69.8
2021-01-19,"ME",136875,73978,54
2021-01-19,"MA",669325,318877,47.6
2021-01-19,"NH",127225,71556,56.2
2021-01-19,"RI",108425,54081,49.9
2021-01-19,"VT",74000,40581,54.8
2021-01-20,"CT",430375,243140,56.5
